"","ELEC","GAS","HEAT","ROIL","CoalPro","Coal","Oil","LNG","Mining","IS","Cement","Orgchem","WoodPaper","FiberLeather","Mineral","nonISmetal","Machine","Electro_e","Electro_ne","Electro_sig","semicon","Auto","Ship","Food","MissManu","Const","Rail","Road","Air","Marine","MissTrans","Housing","Commercial","Public","Agri","Waste","FF","Dint","HE","GE","HI","GI","ST","Gold","EX","Dfin","Dtotal","Qtotal","Qself","Imp","Resout","Stotal_b","PTAXd","PTAXim","Psub","Cmargin","Tmargin","Contotal","Stotal_p"
"Cement",0,0,0,0,0,0,0,0,0,0,2349927,0,0,0,12872,0,0,0,0,0,0,0,177,0,1518,10958765,0,0,0,0,0,0,3068,957,0,3329,0,13330613,10139,0,0,0,13579,0,331242,354960,13685573,13609685,0,75888,0,13685573,0,0,0,0,0,0,13685573
"Orgchem",317419,3865,1951,968096,21658,4634,0,0,15353,372066,81302,59845128,1107608,4700679,607289,82671,4468286,4444070,5292723,3967492,2138561,9843378,787270,1786868,16411491,5838200,556,875556,21709,33909,457104,0,5492933,273241,530559,315768,161233,131270626,601658,0,0,0,-807648,0,52593476,52387486,183658112,141892839,15145961,25424150,1195162,183658112,0,0,0,0,0,0,183658112
"WoodPaper",101196,4195,2177,116849,8377,3584,0,17,5017,248346,79200,642798,13150654,635075,409945,116042,393142,643858,727240,222396,101254,358697,153818,1803878,3481948,2591405,2397,28995,924,20941,659615,0,10445141,1562382,334461,155906,189271,39401141,857061,0,0,0,-838093,0,3375768,3394736,42795877,35409974,0,6665690,720213,42795877,0,0,0,0,0,0,42795877
"FiberLeather",95361,7175,1540,35501,8550,1095,20,98,3176,193635,23572,1229534,345245,19132742,91665,23347,253414,88750,304305,204156,26518,600590,123227,133526,2390943,499187,5362,175287,1437,53507,697067,0,4164589,498968,168677,232152,229588,32043506,22450772,0,113871,3698,2211829,0,20993220,45773390,77816896,61257676,0,16529933,29287,77816896,0,0,0,0,0,0,77816896
"Mineral",53754,0,0,27581,73602,0,0,49,546,1227265,191354,191918,83952,12558,3764047,100663,521366,839902,676814,11176546,356520,687305,248741,485382,1478482,6734971,1007,1883,7606,1576,23903,0,586136,67921,18056,169198,1033,29811637,350400,0,0,0,489642,0,1465513,2305555,32117192,22285208,0,9272046,559938,32117192,0,0,0,0,0,0,32117192
"nonISmetal",15336,0,0,26597,2252,467,0,0,0,1519107,8855,206264,35615,9180,103529,16077021,1897973,8953098,1845226,708966,1763164,1706255,222324,4567,8498911,1076124,0,0,31537,0,7458,0,258441,15030,482,680407,2204,45676390,16652,0,0,0,-445639,179483,13335893,13086389,58762779,36252755,0,20981316,1528708,58762779,0,0,0,0,0,0,58762779
"Machine",874004,152226,136636,977657,53211,7011,2319,13348,37831,1157835,182240,2749721,232005,383977,406087,255825,27653789,1822713,2334568,2779924,1581564,5185363,8920110,296246,4858269,6375396,17633,69660,100005,75207,600605,6858,8821748,2400322,201449,685335,101815,82510512,3388203,0,52837657,1368004,899399,0,44572775,103066038,185576550,128103978,594318,56878254,0,185576550,0,0,0,0,0,0,185576550
"Electro_e",1091264,21553,3052,106205,71488,11367,0,0,8668,476042,120739,183742,51866,45173,67008,70392,6808826,14857471,6171335,2553227,564251,5025680,2543551,18253,1709269,8591693,9547,334177,44731,43677,287096,0,4836446,308833,14953,129630,92288,57273493,354975,0,6746459,108521,437991,0,18986829,26634775,83908268,68763474,0,15144794,0,83908268,0,0,0,0,0,0,83908268
"Electro_ne",230765,8004,4645,58654,15587,12,0,0,475,124770,10816,67099,17550,24232,23523,12442,2220043,1296024,23085144,4620990,3239438,1795589,292214,15539,432851,1646510,1731,43073,31541,25898,379031,24619,11939622,600188,13025,116511,5790,52423945,17231034,0,8985298,1488880,1745816,0,55866769,85317797,137741742,109739352,0,28002390,0,137741742,0,0,0,0,0,0,137741742
"Electro_sig",0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,1530813,106198,10990590,26325516,46022,242102,596,10,102819,18215,0,0,319,0,74,0,123545,11216,0,0,0,39498687,0,0,0,0,2676181,0,63761662,66437843,105936530,102234952,0,3701578,0,105936530,0,0,0,0,0,0,105936530
"semicon",8649,0,0,0,0,0,0,0,0,350,0,1430,636,0,0,830,1715050,1435619,12118114,5504543,17820633,820134,10819,16,163975,15187,0,0,244,0,171,0,1088086,14672,0,2280,0,40721438,229322,0,0,0,-1169841,0,49030125,48089606,88811044,62462426,0,26348618,0,88811044,0,0,0,0,0,0,88811044
"Auto",24946,1912,456,61367,4411,1634,78,603,52339,53319,168281,111166,63428,28799,55144,27858,717337,57752,29117,53881,3436,48418806,11363,44422,344926,203135,0,1632834,1469,1324,725915,0,5002797,152489,18499,271543,9468,58356254,18272431,0,15902380,1102993,223633,0,62478402,97979839,156336093,139045777,7014163,10276153,0,156336093,0,0,0,0,0,0,156336093
"Ship",0,0,0,0,0,0,0,0,36287,0,0,0,0,0,0,0,0,0,0,0,0,0,4224697,0,0,0,0,0,0,817210,9944,0,179408,103052,0,0,232117,5602715,0,0,6591053,1203324,-33536,0,50798573,58559414,64162129,57278581,0,6883548,0,64162129,0,0,0,0,0,0,64162129
"Food",14142,615,1553,17167,471,757,0,12,3093,41319,7344,95643,67764,39063,14538,18072,59990,14714,44187,40077,5886,57288,6649,14235398,1133472,43222,814,12222,1090,9484,112711,0,15694468,229184,8293346,16503,315651,40647909,30331793,0,0,0,1521868,0,6271792,38125453,78773362,65533987,0,13162509,76866,78773362,0,0,0,0,0,0,78773362
"MissManu",1831634,80976,23725,2117323,147201,46119,814,4705,164498,3847269,695055,12865785,2473331,8815676,2046119,1198374,17450568,4607132,6771914,8017683,6676178,14133118,10105536,3131113,45411800,22415132,278520,609349,2194304,164370,639563,67321,26183797,3428324,3045901,686285,144301,212520813,12975021,0,8256588,3449921,1116392,595537,31516648,57910107,270430920,212410870,1939045,55930046,150959,270430920,0,0,0,0,0,0,270430920
"Const",166013,30201,12859,45592,15150,1216,142,929,7638,72503,9103,143114,27553,34054,38787,19526,126726,96769,117354,227937,207485,141116,71751,50767,144179,95288,18301,69329,23455,36810,63098,3584251,1050787,2629357,84785,19941,15002,9498868,0,0,124769484,44568901,996325,0,369491,170704201,180203069,180178514,0,24555,0,180203069,0,0,0,0,0,0,180203069
"Rail",6869,211,467,31768,1523,3400,0,0,26817,24671,127493,86614,24979,18151,14053,3768,47775,7349,17892,59692,2152,30664,1569,19568,82157,28539,3,5049,38,7789,85051,0,1333727,145776,2099,27640,404,2275717,2670396,0,1992,44,-40,0,185068,2857460,5133177,4489209,0,643968,0,5133177,0,0,0,0,0,0,5133177
"Road",52771,1242,3420,563384,119510,16790,9,38,249592,1462196,1121384,1897623,967377,730994,660228,528710,1136563,447547,713028,572733,73288,1053366,434993,1304992,2791544,1231336,3341,95999,12956,75685,312670,55,6033134,899478,317412,490726,36567,26412681,14432322,0,114921,21879,59102,624,507617,15136465,41549146,40999132,0,550014,0,41549146,0,0,0,0,0,0,41549146
"Air",18002,2373,503,66136,659,12,0,0,1505,54661,24469,110934,29445,86579,32269,17339,265540,100839,207375,63020,54228,54455,17072,60893,245347,72241,505,4880,18456,13720,368177,0,4491699,457078,4745,3725,18110,6966991,1973453,0,41,3,2,0,9591024,11564523,18531514,15920017,0,2611497,0,18531514,0,0,0,0,0,0,18531514
"Marine",5229,258,95,283139,12500,5579,0,0,17505,209391,204628,164826,67798,37020,56838,19883,91418,44611,44673,35868,3660,43505,57512,101408,212207,69696,940,6138,793,14381516,4642,0,267182,3395,26671,17457,33991,16531972,238171,0,2288,78,2122,2,33337008,33579669,50111641,35690696,0,14420945,0,50111641,0,0,0,0,0,0,50111641
"MissTrans",126411,10859,6570,726934,72803,3738,2465,9772,132026,961252,419189,1105478,295196,664369,226363,283668,1061432,430225,580661,638735,510666,580026,258801,863406,2176676,330300,583141,2057916,1787975,3011125,1250644,53,10474211,71005,365036,286729,326875,32692731,3026432,0,163207,17086,10279,474,1076825,4294303,36987034,32413885,0,4573149,0,36987034,0,0,0,0,0,0,36987034
"Housing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81588038,0,0,0,0,0,380637,81968675,81968675,81096033,0,872642,0,81968675,0,0,0,0,0,0,81968675
"Commercial",2972852,715646,223547,3971850,355006,41594,6885,32968,310365,7477334,1587218,11831300,4084088,8367472,2254893,2008071,13002939,6057168,12913201,9064992,4093161,16237860,3859734,10428955,23238579,30850220,252653,4680669,1699879,5098474,8575886,10168523,225304968,21386510,5347996,3069922,1084719,462658097,314639208,43261534,71401126,2530873,1638240,87738,40600951,474159670,936817767,877628877,0,59188890,0,936817767,0,0,0,0,0,0,936817767
